Seconds;Area%;Circularity;Vdeshidratacion;Vdeplasmolisi;Survival
114;0,868455348;0,88524;0,00%;0,12%;95,81%
115;0,865828179;0,887153;0,00%;0,12%;95,91%
116;0,868020935;0,882901;0,00%;0,12%;95,90%
117;0,868000248;0,883665;0,00%;0,12%;95,56%
118;0,86742103;0,889578;0,00%;0,11%;95,68%
119;0,873171842;0,88624;0,00%;0,12%;95,82%
120;0,870130945;0,887737;0,00%;0,12%;95,97%
121;0,869737904;0,885434;0,00%;0,11%;95,69%
122;0,87073085;0,886445;0,00%;0,11%;95,76%
123;0,871744482;0,886689;0,00%;0,11%;95,59%
124;0,87683333;0,888053;0,00%;0,12%;95,58%
125;0,873440765;0,891114;0,00%;0,11%;96,00%
126;0,873916551;0,885884;0,00%;0,11%;96,12%
127;0,873254587;0,887898;0,00%;0,11%;95,85%
128;0,874454397;0,890236;0,00%;0,11%;96,08%
129;0,877805589;0,88825;0,00%;0,11%;95,96%
130;0,876171366;0,887383;0,00%;0,11%;95,77%
131;0,876750584;0,885289;0,00%;0,11%;95,99%
132;0,876874703;0,888095;0,00%;0,11%;96,23%
133;0,879150204;0,890399;0,00%;0,11%;95,93%
134;0,879481186;0,890735;0,00%;0,11%;96,27%
135;0,879108831;0,890358;0,00%;0,11%;95,44%
136;0,880867173;0,887548;0,00%;0,11%;96,14%
137;0,879439813;0,890693;0,00%;0,10%;96,01%
138;0,882770319;0,886788;0,00%;0,11%;95,95%
139;0,88248071;0,891864;0,00%;0,11%;96,04%
140;0,882894437;0,892282;0,00%;0,11%;95,63%
141;0,88390807;0,8914;0,00%;0,11%;96,00%
142;0,883659833;0,889576;0,00%;0,10%;96,13%
143;0,882997869;0,894296;0,00%;0,10%;96,37%
144;0,885025134;0,89095;0,00%;0,10%;95,98%
145;0,886059453;0,894688;0,00%;0,10%;95,93%
146;0,88647318;0,892408;0,00%;0,10%;96,01%
147;0,88647318;0,888613;0,00%;0,10%;96,31%
148;0,887879854;0,893824;0,00%;0,10%;96,20%
149;0,887714363;0,889858;0,00%;0,10%;96,04%
150;0,889452018;0,888922;0,00%;0,10%;96,26%
151;0,888872799;0,891019;0,00%;0,10%;96,19%
152;0,891562028;0,89103;0,00%;0,10%;96,38%
153;0,889638195;0,892573;0,00%;0,10%;96,06%
154;0,889141722;0,892075;0,00%;0,10%;96,15%
155;0,892761838;0,89223;0,00%;0,10%;96,15%
156;0,892699779;0,894067;0,00%;0,10%;95,95%
157;0,892699779;0,890275;0,00%;0,10%;96,31%
158;0,89565793;0,89244;0,00%;0,10%;96,32%
159;0,895554498;0,893122;0,00%;0,10%;96,28%
160;0,893920275;0,889602;0,00%;0,10%;96,24%
161;0,895761362;0,889547;0,00%;0,10%;96,02%
162;0,898781573;0,889878;0,00%;0,10%;96,23%
163;0,89776794;0,893431;0,00%;0,10%;96,26%
164;0,89822304;0,887447;0,00%;0,10%;96,18%
165;0,897788627;0,888895;0,00%;0,10%;96,32%
166;0,899526282;0,890616;0,00%;0,10%;96,45%
167;0,899484909;0,890575;0,00%;0,10%;96,76%
168;0,899340105;0,891212;0,00%;0,10%;96,43%
169;0,899546968;0,892523;0,00%;0,10%;96,46%
170;0,900705405;0,892565;0,00%;0,10%;96,41%
171;0,901594919;0,892664;0,00%;0,10%;96,05%
172;0,903311888;0,892475;0,00%;0,10%;96,44%
173;0,901243251;0,894206;0,00%;0,09%;96,47%
174;0,901057074;0,892131;0,00%;0,09%;96,97%
175;0,903125711;0,894179;0,00%;0,10%;96,45%
176;0,902587865;0,893647;0,00%;0,09%;96,56%
177;0,904346207;0,893497;0,00%;0,09%;96,51%
178;0,902401688;0,895355;0,00%;0,09%;96,29%
179;0,906290726;0,896527;0,00%;0,10%;96,77%
180;0,914751453;0,890103;0,00%;0,10%;96,70%
181;0,909828096;0,894345;0,00%;0,10%;96,72%
182;0,912848307;0,895749;0,00%;0,10%;96,40%
183;0,908049068;0,892596;0,00%;0,09%;96,87%
184;0,909186819;0,898279;0,00%;0,09%;96,32%
185;0,909435055;0,895846;0,00%;0,09%;96,74%
186;0,910903788;0,895402;0,00%;0,09%;97,07%
187;0,915185867;0,89395;0,00%;0,10%;96,45%
188;1;0,894859;0,00%;0,18%;96,54%
189;0,915247926;0,893233;8,48%;0,00%;96,69%
190;0,917089013;0,898018;4,15%;0,00%;96,58%
191;0,908442109;0,894868;3,05%;0,00%;96,39%
192;0,907800832;0,896126;2,30%;0,00%;96,72%
193;0,923460417;0,884006;1,53%;0,00%;96,51%
194;0,895058025;0,892626;1,75%;0,00%;96,83%
195;0,893051447;0,893631;1,53%;0,00%;96,56%
196;0,888645249;0,890006;1,39%;0,00%;97,07%
197;0,880019031;0,888589;1,33%;0,00%;96,62%
198;0,87848824;0,892427;1,22%;0,00%;96,72%
199;0,872799487;0,885862;1,16%;0,00%;96,96%
